varU	varE	Ind_gen	Densidad	h2	Pedigrí	Enfoque
0.3612295999	0.21765988739	451	1.000	0.62	Pedigrí 2.1	Bayesiano
0.49003229168	0.154207783206	0	10.000	0.76	Pedigrí 2.1	Bayesiano
0.47978968383	0.154080225183	148	10.000	0.76	Pedigrí 2.1	Bayesiano
0.45766266036	0.153383235998	298	10.000	0.75	Pedigrí 2.1	Bayesiano
0.42782322201	0.123267370904	451	10.000	0.78	Pedigrí 2.1	Bayesiano
0.48682635568	0.156570579029	0	100.000	0.76	Pedigrí 2.1	Bayesiano
0.49143534294	0.145772616122	148	100.000	0.77	Pedigrí 2.1	Bayesiano
0.45286717738	0.15464964333	298	100.000	0.75	Pedigrí 2.1	Bayesiano
0.42314190818	0.116675726874	451	100.000	0.78	Pedigrí 2.1	Bayesiano
0.4969158947	0.13157797644	0	1.000	0.79	Pedigrí 2.2	Bayesiano
0.51106938941	0.128586527725	148	1.000	0.8	Pedigrí 2.2	Bayesiano
0.49242104223	0.129080239767	298	1.000	0.79	Pedigrí 2.2	Bayesiano
0.35775046259	0.2191629306	451	1.000	0.62	Pedigrí 2.2	Bayesiano
0.49905547834	0.130274175997	0	10.000	0.79	Pedigrí 2.2	Bayesiano
0.49430971956	0.136750346079	148	10.000	0.78	Pedigrí 2.2	Bayesiano
0.45847134809	0.126562291625	298	10.000	0.78	Pedigrí 2.2	Bayesiano
0.42224945408	0.125153184654	451	10.000	0.77	Pedigrí 2.2	Bayesiano
0.49929101131	0.131180240036	0	100.000	0.79	Pedigrí 2.2	Bayesiano
0.49587228031	0.135202240673	148	100.000	0.79	Pedigrí 2.2	Bayesiano
0.45930779302	0.126155108708	298	100.000	0.78	Pedigrí 2.2	Bayesiano
0.42088930127	0.118765260271	451	100.000	0.78	Pedigrí 2.2	Bayesiano
0.51082437823	0.106938713179	0	1.000	0.83	Pedigrí 2.3	Bayesiano
0.51930108863	0.099171365016	148	1.000	0.84	Pedigrí 2.3	Bayesiano
0.5112075705	0.110247052136	298	1.000	0.82	Pedigrí 2.3	Bayesiano
0.36111902954	0.21801688276	451	1.000	0.62	Pedigrí 2.3	Bayesiano
0.51220565485	0.10589570985	0	10.000	0.83	Pedigrí 2.3	Bayesiano
0.49677000078	0.110548853987	148	10.000	0.82	Pedigrí 2.3	Bayesiano
0.47110822426	0.10909492177	298	10.000	0.81	Pedigrí 2.3	Bayesiano
0.42470408561	0.125229481589	451	10.000	0.77	Pedigrí 2.3	Bayesiano
0.5098082574	0.108891916298	0	100.000	0.82	Pedigrí 2.3	Bayesiano
0.49412974715	0.109457620484	148	100.000	0.82	Pedigrí 2.3	Bayesiano
0.46490467045	0.112325032077	298	100.000	0.81	Pedigrí 2.3	Bayesiano
0.42406552746	0.116735533424	451	100.000	0.78	Pedigrí 2.3	Bayesiano
0.47538445282	0.17667608005	0	1.000	0.73	Pedigrí 2.4	Bayesiano
0.48736910971	0.171677904409	148	1.000	0.74	Pedigrí 2.4	Bayesiano
0.50888101347	0.128501140307	298	1.000	0.8	Pedigrí 2.4	Bayesiano
0.36277474178	0.21683835524	451	1.000	0.63	Pedigrí 2.4	Bayesiano
0.49572611715	0.164758962559	0	10.000	0.75	Pedigrí 2.4	Bayesiano
0.47191940342	0.175938798758	148	10.000	0.73	Pedigrí 2.4	Bayesiano
0.46371501714	0.130312169783	298	10.000	0.78	Pedigrí 2.4	Bayesiano
0.42362975034	0.124596130894	451	10.000	0.77	Pedigrí 2.4	Bayesiano
0.47078760178	0.180933112413	0	100.000	0.72	Pedigrí 2.4	Bayesiano
0.47658539223	0.172787521657	148	100.000	0.73	Pedigrí 2.4	Bayesiano
0.46515226451	0.12947577372	298	100.000	0.78	Pedigrí 2.4	Bayesiano
0.4249589569	0.115776509167	451	100.000	0.79	Pedigrí 2.4	Bayesiano
0.49241326683	0.123439347626	0	1.000	0.8	Pedigrí 2.5	Bayesiano
0.51029839464	0.109204938166	148	1.000	0.82	Pedigrí 2.5	Bayesiano
0.50332305363	0.122858252534	298	1.000	0.8	Pedigrí 2.5	Bayesiano
0.36172513469	0.21747483819	451	1.000	0.62	Pedigrí 2.5	Bayesiano
0.49444571671	0.122704528427	0	10.000	0.8	Pedigrí 2.5	Bayesiano
0.4988303889	0.108085542518	148	10.000	0.82	Pedigrí 2.5	Bayesiano
0.46529009565	0.119345226702	298	10.000	0.8	Pedigrí 2.5	Bayesiano
0.42330048339	0.124716828341	451	10.000	0.77	Pedigrí 2.5	Bayesiano
0.49485676107	0.121345050755	0	100.000	0.8	Pedigrí 2.5	Bayesiano
0.49854709711	0.108825675599	148	100.000	0.82	Pedigrí 2.5	Bayesiano
0.46706877942	0.119828635727	298	100.000	0.8	Pedigrí 2.5	Bayesiano
0.42377713756	0.11689299198	451	100.000	0.78	Pedigrí 2.5	Bayesiano
0.51847882067	0.11025300587	0	1.000	0.82	Pedigrí 2.6	Bayesiano
0.53378376209	0.100151853165	148	1.000	0.84	Pedigrí 2.6	Bayesiano
0.52851484068	0.101277098642	298	1.000	0.84	Pedigrí 2.6	Bayesiano
0.35997453387	0.21799923111	451	1.000	0.62	Pedigrí 2.6	Bayesiano
0.50915898348	0.118396420663	0	10.000	0.81	Pedigrí 2.6	Bayesiano
0.5161696559	0.107196674147	148	10.000	0.83	Pedigrí 2.6	Bayesiano
0.48462873861	0.099350171765	298	10.000	0.83	Pedigrí 2.6	Bayesiano
0.42623613295	0.123034864044	451	10.000	0.78	Pedigrí 2.6	Bayesiano
0.51668144613	0.111969977496	0	100.000	0.82	Pedigrí 2.6	Bayesiano
0.51643527828	0.104684519973	148	100.000	0.83	Pedigrí 2.6	Bayesiano
0.48557181997	0.10012833424	298	100.000	0.83	Pedigrí 2.6	Bayesiano
0.4232395682	0.116773145578	451	100.000	0.78	Pedigrí 2.6	Bayesiano
0.51278333251	0.131892449858	0	1.000	0.8	Pedigrí 2.7	Bayesiano
0.52362815877	0.129162400068	148	1.000	0.8	Pedigrí 2.7	Bayesiano
0.50648650794	0.120311258427	298	1.000	0.81	Pedigrí 2.7	Bayesiano
0.35830037378	0.2188643292	451	1.000	0.62	Pedigrí 2.7	Bayesiano
0.51399829489	0.129007913632	0	10.000	0.8	Pedigrí 2.7	Bayesiano
0.51023428285	0.13216260906	148	10.000	0.79	Pedigrí 2.7	Bayesiano
0.47785368596	0.112050171972	298	10.000	0.81	Pedigrí 2.7	Bayesiano
0.42377925355	0.123778138676	451	10.000	0.77	Pedigrí 2.7	Bayesiano
0.51556542873	0.129916964447	0	100.000	0.8	Pedigrí 2.7	Bayesiano
0.50075868562	0.137357923099	148	100.000	0.78	Pedigrí 2.7	Bayesiano
0.46890599958	0.118599334946	298	100.000	0.8	Pedigrí 2.7	Bayesiano
0.42443388799	0.115254682877	451	100.000	0.79	Pedigrí 2.7	Bayesiano
0.46464505231	0.175215924246	0	1.000	0.73	Pedigrí 2.8	Bayesiano
0.48341559044	0.165952209408	148	1.000	0.74	Pedigrí 2.8	Bayesiano
0.4979167071	0.128006184103	298	1.000	0.8	Pedigrí 2.8	Bayesiano
0.35885574407	0.21924065362	451	1.000	0.62	Pedigrí 2.8	Bayesiano
0.46411143859	0.175991655566	0	10.000	0.73	Pedigrí 2.8	Bayesiano
